Country,Color,Flag,Year,Warheads
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1945,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1945,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1945,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1945,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1945,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1945,0.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1945,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1945,2.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1945,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1946,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1946,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1946,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1946,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1946,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1946,0.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1946,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1946,9.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1946,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1947,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1947,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1947,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1947,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1947,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1947,0.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1947,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1947,13.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1947,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1948,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1948,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1948,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1948,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1948,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1948,0.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1948,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1948,50.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1948,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1949,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1949,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1949,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1949,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1949,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1949,1.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1949,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1949,170.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1949,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1950,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1950,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1950,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1950,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1950,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1950,5.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1950,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1950,299.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1950,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1951,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1951,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1951,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1951,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1951,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1951,25.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1951,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1951,438.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1951,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1952,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1952,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1952,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1952,0.0
